price,rating,os,sim_type,network_type,NFC,chipset,core_type,clock_ghz,ram_gb,storage_gb,battery_mah,screen_size_in,display_type,rear_camera,front_camera,company_name,resx,resy,ppi,performance_score
54999,8.9,Andriod,Dual,5g,True,Snapdragon,Octa Core,3.2,12,12,5000.0,6.7,Punch Hole,50,16,oneplus,1440,3216,525.9210168998101,38.400000000000006
19989,8.1,Andriod,Dual,5g,False,Snapdragon,Octa Core,2.2,6,6,5000.0,6.59,Punch Hole,64,16,oneplus,1080,2412,401.0247511261829,13.200000000000001
16499,7.5,Andriod,Dual,5g,False,Other,Octa Core,2.4,4,4,5000.0,6.6,Water Drop Notch,50,13,samsung,1080,2408,399.8640724050703,9.6
14999,8.1,Andriod,Dual,5g,False,Snapdragon,Octa Core,2.2,6,6,5000.0,6.55,Punch Hole,50,16,motorola,1080,2400,401.8023609061614,13.200000000000001
24999,8.2,Andriod,Dual,5g,False,Dimensity,Octa Core,2.6,6,6,5000.0,6.7,Punch Hole,108,16,realme,1080,2412,394.44076267485747,15.600000000000001
16999,8.0,Andriod,Dual,5g,True,Other,Octa Core,2.2,6,6,5000.0,6.6,Water Drop Notch,50,8,samsung,1080,2408,399.8640724050703,13.200000000000001
65999,8.1,IOS,Dual,5g,True,Bionic,Hexa Core,3.22,6,6,3279.0,6.1,Small Notch,12,12,apple,1170,2532,457.2543463119592,19.32
29999,8.6,Andriod,Dual,5g,False,Dimensity,Octa Core,2.6,8,8,4980.0,6.67,Punch Hole,200,16,xiaomi,1080,2400,394.57353282389164,20.8
26749,8.5,Andriod,Dual,5g,True,Other,Octa Core,2.5,8,8,4500.0,6.55,Punch Hole,50,16,other,1080,2400,401.8023609061614,20.0
28999,8.4,Andriod,Dual,5g,True,Other,Octa Core,3.0,8,8,4500.0,6.43,Punch Hole,50,32,oneplus,1080,2400,409.3010052776606,24.0
18999,8.2,Andriod,Dual,5g,False,Snapdragon,Octa Core,2.2,6,6,5000.0,6.72,Punch Hole,108,16,realme,1080,2400,391.6377178475234,13.200000000000001
